team,win_rate,draw_rate,avg_goals_scored,avg_goals_conceded
Lombardia,0.5387149917627677,0.1911037891268533,2.8072487644151565,2.1087314662273475
Arsenal,0.4737124463519313,0.0407725321888412,3.3715128755364807,3.3747317596566524
Nottingham Forest,0.3159268929503916,0.1201044386422976,4.921671018276762,5.85378590078329
Anderlecht,0.3916849015317287,0.1269146608315098,5.759299781181619,6.050328227571116
Chelsea,0.4528301886792453,0.1358490566037735,5.164150943396226,4.89622641509434
Borussia Monchengladbach,0.42,0.1266666666666666,5.815555555555555,5.997777777777777
Olympique Lyonnais,0.2967914438502674,0.232620320855615,2.36096256684492,2.9705882352941178
Porto,0.4266304347826087,0.1766304347826087,2.578804347826087,2.619565217391304
Morocco,0.3846153846153846,0.1906354515050167,1.5451505016722409,1.6220735785953178
Bournemouth,0.3584415584415584,0.1454545454545454,4.958441558441558,5.566233766233767
Napoli,0.4153439153439153,0.1931216931216931,2.7883597883597884,2.9206349206349205
Club Atlético de Madrid,0.4302925989672977,0.1566265060240964,2.521514629948365,2.4578313253012047
Las Palmas,0.3734939759036144,0.2289156626506024,1.4216867469879515,1.3012048192771084
Wolverhampton Wanderers,0.434010152284264,0.1243654822335025,5.060913705583756,5.266497461928934
Aston Villa,0.4751908396946565,0.1374045801526717,4.730916030534351,4.288167938931298
Sheffield United,0.377431906614786,0.1011673151750972,7.116731517509727,7.766536964980545
Braga,0.4242424242424242,0.1536796536796536,5.846320346320346,5.872294372294372
Bayer 04,0.3943427620632279,0.1830282861896838,2.259567387687188,2.366056572379368
Brentford,0.4490291262135922,0.1310679611650485,5.242718446601942,5.058252427184466
AZ Alkmaar,0.2808219178082192,0.1643835616438356,4.776255707762557,5.792237442922374
Roma,0.4316037735849056,0.1450471698113207,4.65566037735849,4.442216981132075
Olympiacos,0.375609756097561,0.1723577235772357,4.565853658536585,4.619512195121951
Ghana,0.16015625,0.18359375,0.9765625,2.24609375
Bayern Munich,0.5052916564115186,0.0260890967265567,3.0812207728279595,3.013044548363278
Al Nassr,0.5054466230936819,0.0,3.5043572984749454,3.601307189542484
Rangers,0.3658536585365853,0.2804878048780488,1.5853658536585369,1.5060975609756098
Liverpool,0.5266393442622951,0.0289162112932604,3.4867941712204007,3.240209471766849
Newcastle United,0.4470134874759152,0.1445086705202312,4.514450867052023,4.173410404624278
Barcelone,0.4953345774460144,0.0253265795787789,3.1767528659024262,3.1079712076779527
Piemonte Calcio (Juventus),0.4760112888052681,0.0,2.502351834430856,2.5390404515522107
Portugal,0.5625,0.2259615384615384,1.870192307692308,1.0817307692307692
Udinese Calcio,0.2027972027972027,0.1888111888111888,1.118881118881119,1.951048951048951
Manchester City,0.5041426060758223,0.0271152397690183,3.4727592267135323,3.3519959829274417
Paris Saint-Germain,0.5171112907572083,0.0204796550794933,3.3403395311236865,3.181622204257613
Real Madrid,0.5239091452480574,0.0277943813508667,3.2743574417214583,3.050508069336521
Brighton et Hove Albion,0.428927680798005,0.1271820448877805,5.384039900249377,5.26932668329177
Bergamo Calcio,0.3281653746770026,0.2067183462532299,1.41343669250646,1.806201550387597
Latium,0.4657534246575342,0.2089041095890411,1.6609589041095891,1.3972602739726028
Manchester United,0.49812734082397,0.1760299625468165,4.619850187265918,3.861423220973783
PSV Eindhoven,0.3056379821958457,0.1839762611275964,2.735905044510386,3.2700296735905043
Hellas Verona,0.2955974842767295,0.2264150943396226,1.1761006289308176,1.6352201257861636
Suède,0.4153225806451613,0.2217741935483871,1.6290322580645162,1.5443548387096775
Heart of Midlothian,0.3523489932885906,0.1140939597315436,7.130872483221476,7.942953020134228
Red Bull,0.5225806451612903,0.0967741935483871,7.767741935483871,7.196774193548387
Crystal Palace,0.3547557840616966,0.1439588688946015,4.863753213367609,5.4755784061696655
France,0.575107296137339,0.2532188841201717,2.0643776824034337,1.0686695278969958
Juventus,0.4743295019157088,0.0486590038314176,3.3157088122605365,3.3517241379310345
Eintracht,0.3552188552188552,0.1683501683501683,4.574074074074074,4.851851851851852
